date,Bitcoin
13/10/2013,13
14/10/2013,18
15/10/2013,20
16/10/2013,20
17/10/2013,19
18/10/2013,18
19/10/2013,22
20/10/2013,20
21/10/2013,19
22/10/2013,25
23/10/2013,24
24/10/2013,25
25/10/2013,23
26/10/2013,28
27/10/2013,25
28/10/2013,29
29/10/2013,64
30/10/2013,100
31/10/2013,68
1/11/2013,19
2/11/2013,16
3/11/2013,14
4/11/2013,17
5/11/2013,18
6/11/2013,22
7/11/2013,24
8/11/2013,26
9/11/2013,24
10/11/2013,22
11/11/2013,19
12/11/2013,21
13/11/2013,23
14/11/2013,24
15/11/2013,25
16/11/2013,23
17/11/2013,26
18/11/2013,55
19/11/2013,82
20/11/2013,54
21/11/2013,44
22/11/2013,46
23/11/2013,41
24/11/2013,36
25/11/2013,38
26/11/2013,39
27/11/2013,66
28/11/2013,100
29/11/2013,87
30/11/2013,66
1/12/2013,79
2/12/2013,83
3/12/2013,75
4/12/2013,67
5/12/2013,95
6/12/2013,86
7/12/2013,93
8/12/2013,67
9/12/2013,66
10/12/2013,59
11/12/2013,59
12/12/2013,56
13/12/2013,55
14/12/2013,46
15/12/2013,50
16/12/2013,57
17/12/2013,57
18/12/2013,100
19/12/2013,69
20/12/2013,50
21/12/2013,46
22/12/2013,46
23/12/2013,44
24/12/2013,41
25/12/2013,38
26/12/2013,38
27/12/2013,39
28/12/2013,36
29/12/2013,34
30/12/2013,35
31/12/2013,34
1/01/2014,64
2/01/2014,68
3/01/2014,74
4/01/2014,63
5/01/2014,74
6/01/2014,90
7/01/2014,83
8/01/2014,82
9/01/2014,81
10/01/2014,81
11/01/2014,73
12/01/2014,68
13/01/2014,69
14/01/2014,72
15/01/2014,74
16/01/2014,84
17/01/2014,86
18/01/2014,65
19/01/2014,68
20/01/2014,78
21/01/2014,84
22/01/2014,87
23/01/2014,78
24/01/2014,78
25/01/2014,65
26/01/2014,64
27/01/2014,93
28/01/2014,100
29/01/2014,77
30/01/2014,69
31/01/2014,64
1/02/2014,27
2/02/2014,28
3/02/2014,27
4/02/2014,29
5/02/2014,29
6/02/2014,30
7/02/2014,44
8/02/2014,33
9/02/2014,32
10/02/2014,48
11/02/2014,44
12/02/2014,39
13/02/2014,36
14/02/2014,45
15/02/2014,32
16/02/2014,32
17/02/2014,32
18/02/2014,35
19/02/2014,33
20/02/2014,39
21/02/2014,34
22/02/2014,29
23/02/2014,28
24/02/2014,44
25/02/2014,100
26/02/2014,75
27/02/2014,47
28/02/2014,67
1/03/2014,62
2/03/2014,46
3/03/2014,47
4/03/2014,50
5/03/2014,55
6/03/2014,83
7/03/2014,100
8/03/2014,49
9/03/2014,38
10/03/2014,39
11/03/2014,37
12/03/2014,35
13/03/2014,32
14/03/2014,30
15/03/2014,26
16/03/2014,25
17/03/2014,27
18/03/2014,28
19/03/2014,28
20/03/2014,29
21/03/2014,37
22/03/2014,27
23/03/2014,24
24/03/2014,26
25/03/2014,33
26/03/2014,35
27/03/2014,33
28/03/2014,32
29/03/2014,23
30/03/2014,27
31/03/2014,28
