time,price
12/25/2015,455.50
12/24/2015,456.10
12/23/2015,442.60
12/22/2015,435.60
12/21/2015,437.90
12/20/2015,442.60
12/19/2015,462.50
12/18/2015,463.50
12/17/2015,455.80
12/16/2015,455.00
12/15/2015,466.50
12/14/2015,442.60
12/13/2015,433.00
12/12/2015,435.70
12/11/2015,456.30
12/10/2015,414.90
12/9/2015,418.70
12/8/2015,420.80
12/7/2015,396.70
12/6/2015,390.60
12/5/2015,390.00
12/4/2015,363.20
12/3/2015,360.70
12/2/2015,359.10
12/1/2015,362.70
11/30/2015,376.90
11/29/2015,373.30
11/28/2015,358.70
11/27/2015,358.90
11/26/2015,354.00
11/25/2015,329.90
11/24/2015,320.10
11/23/2015,323.60
11/22/2015,324.70
11/21/2015,327.50
11/20/2015,322.20
11/19/2015,326.50
11/18/2015,336.00
11/17/2015,336.30
11/16/2015,332.10
11/15/2015,321.10
11/14/2015,333.40
11/13/2015,338.50
11/12/2015,336.60
11/11/2015,314.00
11/10/2015,340.20
11/9/2015,381.00
11/8/2015,374.00
11/7/2015,384.60
11/6/2015,375.60
11/5/2015,388.00
11/4/2015,409.20
11/3/2015,405.30
11/2/2015,365.00
11/1/2015,330.70
10/31/2015,316.00
10/30/2015,328.20
10/29/2015,314.90
10/28/2015,304.50
10/27/2015,295.20
10/26/2015,287.20
10/25/2015,284.80
10/24/2015,284.20
10/23/2015,279.20
10/22/2015,275.80
10/21/2015,267.80
10/20/2015,271.00
10/19/2015,265.00
10/18/2015,265.00
10/17/2015,272.90
10/16/2015,263.50
10/15/2015,255.20
10/14/2015,253.50
10/13/2015,251.30
10/12/2015,246.10
10/11/2015,247.90
10/10/2015,246.00
10/9/2015,244.80
10/8/2015,243.00
10/7/2015,244.20
10/6/2015,247.40
10/5/2015,242.00
10/4/2015,239.50
10/3/2015,239.80
10/2/2015,237.90
10/1/2015,238.50
9/30/2015,236.50
9/29/2015,236.80
9/28/2015,240.40
9/27/2015,233.40
9/26/2015,234.60
9/25/2015,235.30
9/24/2015,234.60
9/23/2015,230.50
9/22/2015,231.30
9/21/2015,227.20
9/20/2015,232.10
9/19/2015,232.10
9/18/2015,233.80
9/17/2015,233.60
9/16/2015,229.00
9/15/2015,230.90
9/14/2015,230.90
9/13/2015,231.00
9/12/2015,235.80
9/11/2015,240.60
9/10/2015,239.50
9/9/2015,238.90
9/8/2015,244.20
9/7/2015,240.90
9/6/2015,241.00
9/5/2015,235.80
9/4/2015,230.90
9/3/2015,227.30
9/2/2015,229.70
9/1/2015,228.20
8/31/2015,231.40
8/30/2015,230.00
8/29/2015,230.80
8/28/2015,231.80
8/27/2015,225.80
8/26/2015,226.20
8/25/2015,222.70
8/24/2015,210.50
8/23/2015,228.50
8/22/2015,230.30
8/21/2015,232.20
8/20/2015,235.50
8/19/2015,226.20
8/18/2015,183.00
8/17/2015,258.50
8/16/2015,259.90
8/15/2015,262.10
8/14/2015,266.10
8/13/2015,264.50
8/12/2015,267.10
8/11/2015,272.00
8/10/2015,265.10
8/9/2015,265.60
8/8/2015,261.30
8/7/2015,280.10
8/6/2015,279.10
8/5/2015,282.60
8/4/2015,285.50
8/3/2015,281.30
8/2/2015,282.50
8/1/2015,280.30
7/31/2015,284.50
7/30/2015,288.20
7/29/2015,289.90
7/28/2015,295.20
7/27/2015,294.80
7/26/2015,293.00
7/25/2015,289.40
7/24/2015,288.60
7/23/2015,276.50
7/22/2015,278.00
7/21/2015,275.80
7/20/2015,280.30
7/19/2015,275.00
7/18/2015,277.30
7/17/2015,279.90
7/16/2015,278.90
7/15/2015,285.40
7/14/2015,286.90
7/13/2015,292.60
7/12/2015,311.10
7/10/2015,286.70
7/9/2015,269.20
7/8/2015,270.80
7/7/2015,265.50
7/6/2015,274.80
7/5/2015,265.20
7/4/2015,260.60
7/3/2015,256.00
7/2/2015,254.50
7/1/2015,258.10
6/30/2015,262.90
6/29/2015,256.70
6/28/2015,248.70
6/27/2015,251.60
6/26/2015,243.30
6/25/2015,242.10
6/24/2015,239.80
6/23/2015,244.30
6/22/2015,246.70
6/21/2015,244.30
6/20/2015,245.40
6/19/2015,244.60
6/18/2015,249.50
6/17/2015,248.90
6/16/2015,252.10
6/15/2015,237.00
6/14/2015,233.50
6/13/2015,232.90
6/12/2015,229.40
6/11/2015,229.80
6/10/2015,228.60
6/9/2015,229.10
6/8/2015,228.80
6/7/2015,223.30
6/6/2015,225.60
6/5/2015,224.50
6/4/2015,223.20
6/3/2015,225.10
6/2/2015,224.70
6/1/2015,222.00
5/31/2015,228.70
5/30/2015,232.50
5/29/2015,236.50
5/28/2015,236.90
5/27/2015,236.90
5/26/2015,237.40
5/25/2015,237.10
5/24/2015,240.90
5/23/2015,238.80
5/22/2015,241.00
5/21/2015,235.30
5/20/2015,234.20
5/19/2015,231.70
5/18/2015,232.80
5/17/2015,236.20
5/16/2015,235.70
5/15/2015,237.30
5/14/2015,236.70
5/13/2015,235.80
5/12/2015,241.80
5/11/2015,242.50
